order_id,customer_id,return_id,support_agent_id,order_amount,refund_amount,product_category,return_reason,evidence_provided,decision,manual_override,decision_time_minutes,timestamp
order_1001,customer_200,return_3001,agent_001,203.84,199.57,clothing,changed_mind,True,APPROVED,False,64,2026-06-01T09:06:00Z
order_1002,customer_201,return_3002,agent_005,143.16,131.27,sports,item_not_as_described,True,APPROVED,False,35,2026-06-01T09:22:00Z
order_1003,customer_202,return_3003,agent_001,41.07,15.85,beauty,changed_mind,True,APPROVED,False,42,2026-06-01T09:47:00Z
order_1004,customer_203,return_3004,agent_002,81.12,73.92,beauty,allergic_reaction,True,APPROVED,False,80,2026-06-01T10:08:00Z
order_1005,customer_204,return_3005,agent_002,585.04,374.1,home,item_not_as_described,True,APPROVED,False,86,2026-06-01T10:23:00Z
order_1006,customer_300,return_3006,agent_101,2968.28,1855.12,luxury,item_not_as_described,False,APPROVED,False,30,2026-06-02T09:02:00Z
order_1007,customer_301,return_3007,agent_005,1570.12,708.57,appliances,damaged_item,False,APPROVED,False,30,2026-06-02T09:27:00Z
order_1008,customer_302,return_3008,agent_002,1568.21,1321.3,electronics,damaged_item,False,APPROVED,False,36,2026-06-02T09:49:00Z
order_1009,customer_303,return_3009,agent_001,910.49,736.87,appliances,damaged_item,False,APPROVED,False,16,2026-06-02T10:15:00Z
order_1010,customer_304,return_3010,agent_005,651.98,479.91,luxury,damaged_item,False,APPROVED,False,35,2026-06-02T10:40:00Z
order_1011,customer_400,return_3011,agent_101,1213.2,1213.2,electronics,missing_accessory,False,APPROVED,False,25,2026-06-03T09:00:00Z
order_1012,customer_401,return_3012,agent_005,1146.04,1146.04,appliances,damaged_item,True,APPROVED,True,61,2026-06-03T09:32:00Z
order_1013,customer_402,return_3013,agent_005,1803.3,1803.3,luxury,changed_mind,False,APPROVED,False,60,2026-06-03T10:08:00Z
order_1014,customer_403,return_3014,agent_001,2157.69,2157.69,luxury,changed_mind,True,APPROVED,False,39,2026-06-03T10:25:00Z
order_1015,customer_404,return_3015,agent_005,949.24,949.24,appliances,damaged_item,False,APPROVED,False,38,2026-06-03T11:01:00Z
order_1016,customer_500,return_3016,agent_101,472.24,299.92,fashion,item_not_as_described,False,APPROVED,False,2,2026-06-04T09:01:00Z
order_1017,customer_501,return_3017,agent_102,462.92,420.02,home,item_not_as_described,True,APPROVED,False,6,2026-06-04T09:17:00Z
order_1018,customer_502,return_3018,agent_102,163.81,135.58,clothing,changed_mind,True,APPROVED,False,1,2026-06-04T09:31:00Z
order_1019,customer_503,return_3019,agent_101,2605.08,2552.17,luxury,damaged_item,True,APPROVED,False,5,2026-06-04T09:47:00Z
order_1020,customer_504,return_3020,agent_101,1058.6,896.76,electronics,missing_accessory,False,APPROVED,False,3,2026-06-04T10:04:00Z
order_1021,customer_600,return_3021,agent_005,1170.27,772.55,luxury,damaged_item,False,APPROVED,True,4,2026-06-05T09:00:00Z
order_1022,customer_601,return_3022,agent_002,2318.51,1564.59,luxury,changed_mind,False,APPROVED,True,11,2026-06-05T09:29:00Z
order_1023,customer_602,return_3023,agent_102,1808.83,1331.79,electronics,item_not_as_described,False,APPROVED,True,7,2026-06-05T09:50:00Z
order_1024,customer_603,return_3024,agent_004,1697.4,1345.97,electronics,damaged_item,False,APPROVED,True,26,2026-06-05T10:11:00Z
order_1025,customer_604,return_3025,agent_102,1596.67,1330.79,electronics,missing_accessory,False,APPROVED,True,25,2026-06-05T10:30:00Z
order_1026,customer_900,return_3026,agent_003,28.76,14.42,clothing,wrong_size,True,APPROVED,False,20,2026-06-06T09:08:00Z
