resolution_minutes,purchase_amount,override,agent_id,status,buyer_id,purchase_id,has_photo,created_at,category,return_amount,reason,refund_request_id
62,1902.18,no,agent_024,approved,buyer_0122,purchase_100528,yes,2026-04-15 10:39:00,electronics,556.45,,refund_req_300528
50,30.56,no,agent_003,approved,buyer_0371,purchase_101292,yes,2026-06-05 15:46:00,books,9.09,damaged_item,refund_req_301292
15,1323.82,yes,agent_012,approved,buyer_0529,purchase_104029,no,2026-05-07 19:51:00,luxury,1236.21,item_not_as_described,refund_req_304029
36,237.74,no,agent_702,approved,buyer_0504,purchase_104540,no,2026-04-11 11:22:00,sports,195.59,item_not_as_described,refund_req_304540
88,372.46,no,agent_005,approved,buyer_0414,purchase_100722,yes,2026-04-12 23:49:00,appliances,170.52,  not_working  ,refund_req_300722
2,1655.50,yes,agent_901,  approved  ,buyer_9901,purchase_104866,no,2026-06-06 00:05:00,electronics,1449.93,not_working,refund_req_304866
8,288.58,no,agent_703,approved,buyer_0471,purchase_104415,yes,2026-05-09 06:06:00,electronics,243.64,,refund_req_304415
15,1292.03,no,agent_030,approved,buyer_0168,purchase_103294,yes,2026-04-24 00:02:00,appliances,1292.03,not_working,refund_req_303294
82,87.42,no,agent_014,approved,buyer_0113,purchase_101172,yes,2026-04-23 20:51:00,books,21.85,damaged_item,refund_req_301172
6,1085.24,yes,agent_902,approved,buyer_9906,purchase_104803,no,2026-04-03 08:49:00,electronics,1109.85,,refund_req_304803
5,1060.58,yes,agent_027,approved,buyer_0014,purchase_103984,yes,2026-04-17 01:56:00,appliances,843.08,missing_part,refund_req_303984
85,9.40,no,agent_005,declined,buyer_0598,purchase_101397,yes,2026-06-10 19:08:00,books,2.47,,refund_req_301397
63,82.58,no,agent_008,approved,buyer_0010,purchase_101843,yes,2026-05-20 06:09:00,books,47.11,changed_mind,refund_req_301843
65,255.93,no,agent_009,declined,buyer_0358,purchase_100849,yes,2026-06-18 12:11:00,home,120.60,damaged_item,refund_req_300849
76,168.36,no,agent_019,approved,buyer_0198,purchase_101394,yes,2026-04-14 13:06:00,sports,92.34,item_not_as_described,refund_req_301394
54,86.74,no,agent_001,approved,buyer_0293,purchase_101657,yes,2026-05-13 06:33:00,beauty,35.16, damaged_item ,refund_req_301657
95,1029.83,no,agent_016,declined,buyer_0175,purchase_100936,no,2026-05-09 07:05:00,appliances,299.59,not_working,refund_req_300936
35,91.41,no,agent_003,declined,buyer_0081,purchase_102365,yes,2026-06-03 01:38:00,sports,66.59,wrong_size,refund_req_302365
26,2996.39,no,agent_702,approved,buyer_0156,purchase_104405,yes,2026-04-01 14:56:00,luxury,1650.46,item_not_as_described,refund_req_304405
9,148.51,no,agent_702,approved,buyer_0568,purchase_104465,no,2026-04-06 18:12:00,fashion,125.84,wrong_size,refund_req_304465
28,1785.76,yes,agent_022,approved,buyer_0377,purchase_103916,no,2026-04-20 01:14:00,electronics,1641.36,missing_accessory,refund_req_303916
83,179.22,no,agent_004,declined,buyer_0081,purchase_100361,no,2026-06-19 18:45:00,clothing,107.35,wrong_size,refund_req_300361
73,295.29,no,agent_016,declined,buyer_0592,purchase_102496,yes,2026-04-19 03:00:00,sports,86.76,wrong_size,refund_req_302496
40,979.99,no,agent_003,approved,buyer_0570,purchase_100830,no,2026-05-19 05:05:00,appliances,225.98,damaged_item,refund_req_300830
93,253.77,no,agent_030,approved,buyer_0083,purchase_102045,yes,2026-05-24 10:17:00,clothing,121.34,,refund_req_302045
73,136.58,no,agent_013,approved,buyer_0120,purchase_101981,no,2026-04-17 15:23:00,fashion,92.38,changed_mind,refund_req_301981
28,249.25,no,agent_001,declined,buyer_0063,purchase_100703,yes,2026-05-20 04:34:00,clothing,157.64,wrong_size,refund_req_300703
45,2695.19,no,agent_025,approved,buyer_0498,purchase_102736,,2026-05-12 16:04:00, luxury ,1567.23,,refund_req_302736
68,2968.14,no,agent_020,declined,buyer_0257,purchase_101099,yes,2026-04-19 17:47:00,luxury,1471.43,damaged_item,refund_req_301099
48,105.20,no,agent_015,declined,buyer_0177,purchase_101800,no,2026-04-21 16:23:00,sports,73.04,  wrong_size  ,refund_req_301800
84,576.62,no,agent_013,approved,buyer_0081,purchase_100900,no,2026-06-08 12:08:00,home,487.25,item_not_as_described,refund_req_300900
33,2020.02,yes,agent_007,  approved  ,buyer_0534,purchase_103967,yes,2026-05-21 21:44:00,electronics,1445.40,not_working,refund_req_303967
42,413.91,yes,agent_025,Approved,buyer_0082,purchase_102205,yes,2026-06-04 20:35:00,electronics,230.56,damaged_item,refund_req_302205
10,570.94,no,agent_703,approved,buyer_0420,purchase_104514,yes,2026-04-18 21:09:00,home,372.55,missing_part,refund_req_304514
73,912.68,no,agent_012,approved,buyer_0560,purchase_100931,no,2026-04-15 05:56:00,appliances,525.36, damaged_item ,refund_req_300931
102,1435.53,no,agent_002,declined,buyer_0483,purchase_101993,no,2026-06-10 08:39:00,appliances,1008.64,missing_part,refund_req_301993
63,331.47,no,agent_011,approved,buyer_0034,purchase_102134,no,2026-05-27 15:46:00,sports,243.29,wrong_size,refund_req_302134
48,596.72,no,agent_004,approved,buyer_0371,purchase_101191,yes,2026-05-25 14:59:00,home,135.26,item_not_as_described,refund_req_301191
54,921.31,no,agent_006,approved,buyer_0546,purchase_101282,no,2026-06-17 15:18:00,luxury,453.18,changed_mind,refund_req_301282
53,39.16,no,agent_020,declined,buyer_0515,purchase_102051,no,2026-06-03 06:29:00,books,13.14,changed_mind,refund_req_302051
48,1594.39,no,agent_013,approved,buyer_0059,purchase_100705,,2026-04-05 04:32:00,appliances,1154.46,damaged_item,refund_req_300705
41,1529.37,no,agent_030,approved,buyer_0268,purchase_103496,yes,2026-06-03 14:26:00,appliances,1529.37,not_working,refund_req_303496
84,599.41,no,agent_012,approved,buyer_0303,purchase_100500,yes,2026-06-14 08:49:00,HOME,126.09,missing_part,refund_req_300500
60,51.55,no,agent_009,approved,buyer_0069,purchase_100549,yes,2026-05-27 06:38:00,books,24.62,,refund_req_300549
41,15.19,no,agent_023,approved,buyer_0405,purchase_100589,yes,2026-04-28 00:25:00,books,4.37,changed_mind,refund_req_300589
59,1756.67,no,agent_030,declined,buyer_0020,purchase_101643,no,2026-05-25 20:42:00,luxury,536.31,item_not_as_described,refund_req_301643
,56.22,yes,agent_015,approved,buyer_0181,purchase_100909,yes,2026-06-08 03:47:00,books,45.77,damaged_item,refund_req_300909
36,1259.74,no,agent_004,Declined,buyer_0317,purchase_101930,no,2026-06-05 01:49:00,books,856.09,changed_mind,refund_req_301930
99,49.46,no,agent_013,approved,buyer_0418,purchase_102610,yes,2026-05-17 07:47:00,Beauty,14.26,damaged_item,refund_req_302610
39,1611.46,no,agent_001,declined,buyer_0461,purchase_102688,no,2026-06-08 12:20:00,electronics,492.04,,refund_req_302688
51,1787.11,no,agent_001,approved,buyer_0412,purchase_103468,yes,2026-04-08 02:31:00,electronics,1787.11,missing_accessory,refund_req_303468
63,71.11,no,agent_019,declined,buyer_0431,purchase_101190,no,2026-04-16 12:46:00,fashion,33.99,changed_mind,refund_req_301190
54,358.27,no,agent_019,approved,buyer_0055,purchase_100621,yes,2026-04-03 17:23:00,fashion,246.44,item_not_as_described,refund_req_300621
