order_amount,agent_id,customer_id,override,decision_time_minutes,order_id,created_at,category,evidence,return_id,return_amount,decision,reason
"146,44",agent_009,buyer_0055,0,27,purchase_100491,08.04.2026 06:00,beauty,0,refund_req_300491,"94,51",reject,allergic_reaction
"1.574,41",agent_018,buyer_0564,0,65,purchase_100242,19.05.2026 07:25,luxury,1,refund_req_300242,"1.137,56",approve,item_not_as_described
"2.939,09",agent_021,buyer_0043,0,93,purchase_101167,08.06.2026 11:20,luxury,,refund_req_301167,"1.543,01",approve,changed_mind
"1.089,60",agent_007,buyer_0326,0,12,purchase_103154,07.06.2026 15:28,appliances,0,refund_req_303154,"872,80",approve,missing_part
"37,95",agent_028,buyer_0162,0,31,purchase_100876,10.06.2026 07:48,clothing,0,refund_req_300876,"21,78",reject,item_not_as_described
"1.923,27",agent_022,buyer_0585,0,32,purchase_102986,20.05.2026 03:18,electronics,0,refund_req_302986,"1.441,51",approve,item_not_as_described
"877,26",agent_002,buyer_9006,0,65,purchase_104255,23.04.2026 14:07,appliances,0,refund_req_304255,"541,43",approve,damaged_item
"456,86",agent_014,buyer_0127,0,46,purchase_101399,26.05.2026 22:32,electronics,1,refund_req_301399,"159,91",approve,not_working
"944,56",agent_102,buyer_0233,0,33,purchase_103017,06.05.2026 06:31,appliances,0,refund_req_303017,"569,03",approve,not_working
"626,77",agent_103,buyer_0184,0,1,purchase_103572,30.05.2026 03:38,electronics,1,refund_req_303572,"569,20", approve ,item_not_as_described
"1.216,59",agent_703,buyer_0436,0,,purchase_104457,20.04.2026 20:23,sports,0,refund_req_304457,"1.172,89",approve,  wrong_size  
"148,43",agent_012,buyer_0478,0,,purchase_100796,26.05.2026 14:48,clothing,1,refund_req_300796,"108,63",approve,wrong_size
"1.683,31",agent_012,buyer_9008,0,15,purchase_104113,21.06.2026 01:13,electronics,0,refund_req_304113,"1.333,49",approve,  not_working  
"23,58",agent_010,buyer_0016,0,84,purchase_100175,27.04.2026 21:32,books,0,refund_req_300175,"16,08",reject,wrong_item_received
"1.233,70",agent_102,buyer_0166,0,40,purchase_103245,13.05.2026 18:25,luxury,0,refund_req_303245,"917,74",approve,item_not_as_described
