return_id,scenario_id,scenario,expected_risk_level,expected_reason_types
return_3001,1,normal,MEDIUM,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND
return_3002,1,normal,LOW,HIGH_VALUE_REFUND
return_3003,1,normal,LOW,
return_3004,1,normal,LOW,HIGH_VALUE_REFUND
return_3005,1,normal,LOW,
return_3006,2,high_value_no_evidence,MEDIUM,AGENT_HIGH_APPROVAL_RATE;NO_EVIDENCE
return_3007,2,high_value_no_evidence,LOW,NO_EVIDENCE
return_3008,2,high_value_no_evidence,MEDIUM,HIGH_VALUE_REFUND;NO_EVIDENCE
return_3009,2,high_value_no_evidence,MEDIUM,HIGH_VALUE_REFUND;NO_EVIDENCE
return_3010,2,high_value_no_evidence,MEDIUM,HIGH_VALUE_REFUND;NO_EVIDENCE
return_3011,3,full_amount_expensive,CRITICAL,AGENT_HIGH_APPROVAL_RATE;FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;NO_EVIDENCE
return_3012,3,full_amount_expensive,MEDIUM,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;MANUAL_OVERRIDE
return_3013,3,full_amount_expensive,MEDIUM,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;NO_EVIDENCE
return_3014,3,full_amount_expensive,MEDIUM,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND
return_3015,3,full_amount_expensive,MEDIUM,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;NO_EVIDENCE
return_3016,4,fast_approval,HIGH,AGENT_HIGH_APPROVAL_RATE;FAST_APPROVAL;NO_EVIDENCE
return_3017,4,fast_approval,MEDIUM,AGENT_HIGH_APPROVAL_RATE;HIGH_VALUE_REFUND
return_3018,4,fast_approval,HIGH,AGENT_HIGH_APPROVAL_RATE;FAST_APPROVAL;HIGH_VALUE_REFUND
return_3019,4,fast_approval,HIGH,AGENT_HIGH_APPROVAL_RATE;FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND
return_3020,4,fast_approval,CRITICAL,AGENT_HIGH_APPROVAL_RATE;FAST_APPROVAL;HIGH_VALUE_REFUND;NO_EVIDENCE
return_3021,5,manual_override_high_value,MEDIUM,MANUAL_OVERRIDE;NO_EVIDENCE
return_3022,5,manual_override_high_value,MEDIUM,MANUAL_OVERRIDE;NO_EVIDENCE
return_3023,5,manual_override_high_value,CRITICAL,AGENT_HIGH_APPROVAL_RATE;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE
