scenario_id,scenario_name,order_id,return_id
1,Normal refund approval with evidence and reasonable timing,order_1001,return_3001
1,Normal refund approval with evidence and reasonable timing,order_1002,return_3002
1,Normal refund approval with evidence and reasonable timing,order_1003,return_3003
1,Normal refund approval with evidence and reasonable timing,order_1004,return_3004
1,Normal refund approval with evidence and reasonable timing,order_1005,return_3005
2,High-value refund approved without evidence,order_1006,return_3006
2,High-value refund approved without evidence,order_1007,return_3007
2,High-value refund approved without evidence,order_1008,return_3008
2,High-value refund approved without evidence,order_1009,return_3009
2,High-value refund approved without evidence,order_1010,return_3010
3,Full-amount refund approved for expensive order,order_1011,return_3011
3,Full-amount refund approved for expensive order,order_1012,return_3012
3,Full-amount refund approved for expensive order,order_1013,return_3013
3,Full-amount refund approved for expensive order,order_1014,return_3014
3,Full-amount refund approved for expensive order,order_1015,return_3015
4,Very fast approval by support agent,order_1016,return_3016
4,Very fast approval by support agent,order_1017,return_3017
4,Very fast approval by support agent,order_1018,return_3018
4,Very fast approval by support agent,order_1019,return_3019
4,Very fast approval by support agent,order_1020,return_3020
5,Manual override on high-value refund,order_1021,return_3021
5,Manual override on high-value refund,order_1022,return_3022
5,Manual override on high-value refund,order_1023,return_3023
5,Manual override on high-value refund,order_1024,return_3024
5,Manual override on high-value refund,order_1025,return_3025
6,Customer with frequent refund requests,order_1026,return_3026
6,Customer with frequent refund requests,order_1027,return_3027
6,Customer with frequent refund requests,order_1028,return_3028
6,Customer with frequent refund requests,order_1029,return_3029
6,Customer with frequent refund requests,order_1030,return_3030
7,Support agent with unusually high approval rate,order_1031,return_3031
7,Support agent with unusually high approval rate,order_1032,return_3032
7,Support agent with unusually high approval rate,order_1033,return_3033
7,Support agent with unusually high approval rate,order_1034,return_3034
7,Support agent with unusually high approval rate,order_1035,return_3035
8,Repeated agent-customer approval pattern,order_1036,return_3036
8,Repeated agent-customer approval pattern,order_1037,return_3037
8,Repeated agent-customer approval pattern,order_1038,return_3038
8,Repeated agent-customer approval pattern,order_1039,return_3039
8,Repeated agent-customer approval pattern,order_1040,return_3040
9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",order_1041,return_3041
9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",order_1042,return_3042
9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",order_1043,return_3043
9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",order_1044,return_3044
9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",order_1045,return_3045
